Status,Section Name,Title,Dates,Location,Instructional Methods,Meeting Information,Faculty,Availability ,Credits,Course Types,Academic Level
Closed,HHP-4990-02 ,SENIOR CAPSTONE,3/13/2023-5/6/2023,Lincoln,LECTURE,"M, W 11:00-11:50 AM 3/13/2023 - 5/6/2023 WC 102 (LEC) ","Chambers, Gina L. ",0 / 15 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HIST-1020FYW-01 ,U.S. HIST SINCE 1877,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 8:40-9:50 AM 1/9/2023 - 5/6/2023 OM 302 (LEC) ","Bower, Kevin P. ",16 / 25 / 0,4 Credits,"FYW: 2 courses needed
Democracy Thread",Undergraduate
Open,HIST-1110-01 ,WORLD CIVILIZATIONS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 12:20-1:30 PM 1/9/2023 - 5/6/2023 OM 217 (LEC) ","Wills, Steven M. ",15 / 25 / 0,4 Credits,"Mlang Electives
Diversity-Global
Going Global Thread
International Studies",Undergraduate
Open,HIST-2180-01 ,SCIENCE/RELIG WEST TRAD,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-1:40 PM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Bolen, Angela ",25 / 25 / 0,4 Credits,"Writing Instructive
Science & Religion Thread",Undergraduate
Open,HIST-2410-01 ,RACIAL JUSTICE-AMER,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 12:20-1:30 PM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Bower, Kevin P. ",13 / 20 / 0,4 Credits,"Diversity-U.S.
Discourse Instructive
Justice Thread",Undergraduate
Open,HIST-2560-01 ,INDIGENOUS HISTORY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:20-11:30 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Mathews, Sandra K. ",15 / 22 / 0,4 Credits,"Diversity-U.S.
Writing Instructive
Power Thread",Undergraduate
Open,HIST-2610-01 ,ENVIRONMENTAL HISTORY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Mathews, Sandra K. ",17 / 25 / 0,4 Credits,"Experiential Exploratory
Environment Thread",Undergraduate
Open,HIST-2800-01 ,HISTORICAL METHODS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 8:40-9:50 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Wills, Steven M. ",12 / 20 / 0,4 Credits,"Writing Instructive
International Studies",Undergraduate
Open,HIST-3540-01 ,HIST OF SEXUALITIES,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:10-9:50 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Winchell, Meghan K. ",16 / 25 / 0,4 Credits,"Gender Studies
Gender & Sexuality Thread",Undergraduate
Open,HIST-3700-01 ,REVOLTNS IN LATIN AM,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:00-11:40 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Mathews, Sandra K. ",12 / 18 / 0,4 Credits,"Mlang Electives
Speaking Instructive
Diversity-Global
Chaos Thread",Undergraduate
Open,HIST-4540-01 ,HIST OF SEXUALITIES,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:10-9:50 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Winchell, Meghan K. ",16 / 25 / 0,4 Credits,"Writing Instructive
Gender Studies
Gender & Sexuality Thread",Undergraduate
Open,HIST-4700-01 ,REVOLTNS IN LATIN AM,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:00-11:40 AM 1/9/2023 - 5/6/2023 OM 316 (LEC) ","Mathews, Sandra K. ",12 / 18 / 0,4 Credits,"Mlang Electives
Diversity-Global
Speaking Instructive
Writing Instructive
Chaos Thread",Undergraduate
Open,HIST-4910-01 ,DIRECTED READINGS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Wills, Steven M. ",99 / 99 / 0,1 to 4 Credits, ,Undergraduate
Open,HIST-4940-01 ,HISTORY CAPSTONE,1/9/2023-5/6/2023,Lincoln,LECTURE,W 4:20-6:00 PM 1/9/2023 - 5/6/2023 OM 301 (LEC) ,"Bower, Kevin P. ",98 / 99 / 0,1 Credits, ,Undergraduate
Open,HIST-4950-01 ,INDEPENDENT STUDY,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Wills, Steven M. ",99 / 99 / 0,1 to 12 Credits, ,Undergraduate
Open,HIST-4960-01 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Wills, Steven M. ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HIST-4970-01 ,HISTORY INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Bower, Kevin P. ",99 / 99 / 0,1 to 8 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,HIST-4980-01 ,INTRO SENIOR THESIS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Bower, Kevin P. ",99 / 99 / 0,1 Credits, ,Undergraduate
Open,HIST-4990-01 ,SENIOR THESIS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Bower, Kevin P. ",99 / 99 / 0,2 Credits, ,Undergraduate
Open,IDS-1011-L1 ,ARCHWAY SEMINAR,1/9/2023-3/3/2023,Lincoln,LECTURE,W 6:00-10:00 PM 1/9/2023 - 3/3/2023 SC 225 (LEC) ,"Lang, Jeffrey D. ",16 / 17 / 0,3 Credits,"Adult UG or Grad only sec
1ST 8-WEEK Session
Archway Seminar
Writing Instructive",Undergraduate
Open,IDS-1020-01 ,INTEGRATIVE SEMINAR,1/9/2023-3/3/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 1/9/2023 - 3/3/2023 ACK 109 (LEC) ","Jensen, Travis ",25 / 25 / 0,1 Credits,"1ST 8-WEEK Session
Archway Seminar",Undergraduate
Open,IDS-1050FYW-01 ,SCIENCE AND RELIGION SEMINAR,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 5/6/2023 ACK 111 (LEC) ","Bousson, Eduardo ",16 / 20 / 0,4 Credits,"FYW: 2 courses needed
Science & Religion Thread",Undergraduate
Open,IDS-1210-02 ,IDENTITY: INTRO EXPLORATION,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 5/6/2023 SC 320 (LEC) ","Hayes, Melissa H. ",15 / 25 / 0,4 Credits,"Discourse Instructive
Identity Thread",Undergraduate
Open,IDS-1500-01 ,INTRO GLOBAL HUMAN HLTH,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 2:00-2:50 PM 1/9/2023 - 5/6/2023 ACK 207 (LEC) ","Isaacson, Jeffrey A. ",1 / 25 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,IDS-1920-01 ,STEM SEMINAR,1/9/2023-5/6/2023,Lincoln,LECTURE,W 4:00-4:50 PM 1/9/2023 - 5/6/2023 ACK 207 (LEC) ,"Fackler, Nathanael L. ",32 / 40 / 0,1 Credits, ,Undergraduate
Open,IDS-2000-01,STU-FAC COLLAB RESRCH,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Dykstra, Rachel ",99 / 99 / 0,0 Credits, ,Undergraduate
Open,IDS-2010-01 ,NATL PRESTIGE SCHLSHP,1/9/2023-5/6/2023,Lincoln,LECTURE,W 3:00-3:50 PM 1/9/2023 - 5/6/2023 SC 235 (LEC) ,"Jensen, Karla K. ",13 / 20 / 0,1 Credits, ,Undergraduate
Open,IDS-2500-01 ,BUILD PROF IDENTITY,3/13/2023-5/6/2023,Lincoln,LECTURE,M 6:00-7:40 PM 3/13/2023 - 5/6/2023 ACK 207 (LEC) ,"Jones, Richard K. 
Leite-Trambly, Olimpia ",25 / 25 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,IDS-2700E-01 ,STUDY ABROAD-EXCHANGE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Barr, Sarah A. ",94 / 99 / 0,1 to 12 Credits, ,Undergraduate
Open,IDS-2700N-01,STUDY ABROAD-NONEXCH,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Barr, Sarah A. ",98 / 99 / 0,1 to 12 Credits, ,Undergraduate
Open,IDS-3150-01 ,"WHAT IF, WHY NOT?",1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-1:40 PM 1/9/2023 - 5/6/2023 SC 322 (LEC) ","Perry, James E. ",18 / 20 / 0,2 Credits,Democracy Thread,Undergraduate
Open,IDS-3210-01 ,EXP LRN-DEMOCRACY THR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Wilson, Antwan D. ",98 / 99 / 0,1 to 2 Credits,"Experiential Intensive
Democracy Thread",Undergraduate
Open,IDS-3230-01 ,EXP LRN-GOING GLBL THR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Cano, Jaime ",99 / 99 / 0,1 to 2 Credits,"Experiential Intensive
Going Global Thread",Undergraduate
Open,IDS-3240-01 ,EXP LRN-ENVIRONMENT THR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Gerald, Gary W. ",99 / 99 / 0,1 to 2 Credits,"Experiential Intensive
Environment Thread",Undergraduate
Open,IDS-3250-01 ,EXP LRN-IDENTITY THR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Wills, Steven M. ",99 / 99 / 0,1 to 2 Credits,"Experiential Intensive
Identity Thread",Undergraduate
Open,IDS-3300-01 ,EXP LRN-INNOVATION THREAD,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Kathman, Ryan T. ",96 / 99 / 0,1 to 2 Credits,"Experiential Intensive
Innovation Thread",Undergraduate
Open,IDS-3310-01 ,EXP LRN-JUSTICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Baumann, Zachary D. ",20 / 20 / 0,1 to 2 Credits,"Experiential Intensive
Justice Thread",Undergraduate
Open,IDS-4000-01,STU-FAC COLLAB RESRCH,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Dykstra, Rachel ",99 / 99 / 0,0 Credits, ,Undergraduate
Open,IDS-4300-01 ,JUSTICE THR CAPSTONE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Baumann, Zachary D. ",20 / 20 / 0,4 Credits,"Justice Thread
Experiential Intensive",Undergraduate
Open,IDS-4700-01 ,WASHINGTON EXP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Baumann, Zachary D. ",98 / 99 / 0,9 Credits,Experiential Intensive,Undergraduate
Open,IDS-4710-01 ,INTERNSHIP SEMINAR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Baumann, Zachary D. ",98 / 99 / 0,3 Credits, ,Undergraduate
Open,IDS-4800LD-L ,DISCURSIVE REFLECTIONS,3/13/2023-5/6/2023,Lincoln,LECTURE,M 6:00-10:00 PM 3/13/2023 - 5/6/2023 ACK 111 (LEC) ,"Jensen, Travis ",20 / 20 / 0,2 Credits,"Adult UG or Grad only sec
2ND 8-WEEK Session
Discourse Instructive
Leadership Thread",Undergraduate
Open,IDS-4800RS-L ,DISCURSIVE REFLECTIONS,3/13/2023-5/6/2023,Lincoln,LECTURE,M 6:00-10:00 PM 3/13/2023 - 5/6/2023 ACK 111 (LEC) ,"Jensen, Travis ",20 / 20 / 0,2 Credits,"Adult UG or Grad only sec
2ND 8-WEEK Session
Discourse Instructive
Reflected Self Thread",Undergraduate
Open,INTST-4940-01 ,CAPSTONE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Miles, Sara J. ",18 / 18 / 0,1 Credits,International Studies,Undergraduate
Open,INTST-4970-01 ,INTERNATIONAL INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Miles, Sara J. ",99 / 99 / 0,3 to 6 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,INTST-4980-01 ,PREPARE SENIOR PROJECT,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Miles, Sara J. ",18 / 18 / 0,0 to 1 Credits,International Studies,Undergraduate
Open,INTST-4990-01 ,SENIOR RESEARCH PROJ,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Miles, Sara J. ",18 / 18 / 0,2 to 3 Credits,International Studies,Undergraduate
Open,LEAD-3200-L ,INTERPERSONAL COMM,1/9/2023-3/3/2023,Lincoln,LECTURE,W 6:00-10:00 PM 1/9/2023 - 3/3/2023 SC 235 (LEC) ,"Staff-BUSEC, F. ",26 / 26 / 0,3 Credits,"1ST 8-WEEK Session
Adult UG or Grad only sec
Reflected Self Thread",Undergraduate
Open,LEAD-4100-L ,GROUP/TEAM DYNAMICS,3/13/2023-5/6/2023,Lincoln,LECTURE,T 6:00-10:00 PM 3/13/2023 - 5/6/2023 SC 235 (LEC) ,"Hoeft, Kari M. ",20 / 20 / 0,3 Credits,"Adult UG or Grad only sec
2ND 8-WEEK Session
Discourse Instructive
Leadership Thread",Undergraduate
Open,LEAD-4500-L ,ACTION RSEARCH FOR LEADERSHIP,1/9/2023-3/3/2023,Lincoln,LECTURE,Th 6:00-10:00 PM 1/9/2023 - 3/3/2023 SC 235 (LEC) ,"Schlichtemeier-Nutzman, Sue E. ",26 / 26 / 0,3 Credits,"Adult UG or Grad only sec
1ST 8-WEEK Session
Experiential Intensive",Undergraduate
Open,LEAD-4980-L ,ORGZTNL LEAD & COMM SEMINAR,3/13/2023-5/6/2023,Lincoln,LECTURE,W 6:00-10:00 PM 3/13/2023 - 5/6/2023 SC 222 (LEC) ,"Schlichtemeier-Nutzman, Sue E. ",22 / 22 / 0,3 Credits,"Adult UG or Grad only sec
2ND 8-WEEK Session
Writing Instructive",Undergraduate
Open,MATH-1010-01 ,MATHEMATICS & DEMOCRACY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:20-1:35 PM 1/9/2023 - 5/6/2023 ACK 007 (LEC) ","McKain, Brent M. 
Pfabe, Kristin A. ",17 / 25 / 0,3 Credits,"Math Problem Solving
Democracy Thread",Undergraduate
Open,MATH-1010-02 ,MATHEMATICS & DEMOCRACY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:20-3:35 PM 1/9/2023 - 5/6/2023 ACK 007 (LEC) ","McKain, Brent M. 
Pfabe, Kristin A. ",24 / 25 / 0,3 Credits,"Math Problem Solving
Democracy Thread",Undergraduate
Open,MATH-1100-01 ,COLLEGE ALGEBRA,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 1/9/2023 - 5/6/2023 ACK 207 (LEC) ","Mohr, Austin T. 
Pfabe, Kristin A. ",21 / 25 / 0,3 Credits,Math Problem Solving,Undergraduate
Open,MATH-1100-02 ,COLLEGE ALGEBRA,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:20-1:35 PM 1/9/2023 - 5/6/2023 ACK 111 (LEC) ","Ebbers, Garrett D. 
Pfabe, Kristin A. ",23 / 25 / 0,3 Credits,Math Problem Solving,Undergraduate
Open,MATH-1300-01 ,STATISTICS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 8:00-8:50 AM 1/9/2023 - 5/6/2023 SC 220 (LEC) ","Clayburn, Nicholas C. 
Pfabe, Kristin A. ",13 / 25 / 0,3 Credits,Math Problem Solving,Undergraduate
Open,MATH-1300-02 ,STATISTICS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 SC 220 (LEC) ","Clayburn, Nicholas C. 
Pfabe, Kristin A. ",13 / 25 / 0,3 Credits,Math Problem Solving,Undergraduate
Open,MATH-1300-N ,STATISTICS,3/13/2023-5/6/2023,Lincoln,LECTURE,Th 6:00-10:00 PM 3/13/2023 - 5/6/2023 ACK 207 (LEC) ,"Hartman, David 
Pfabe, Kristin A. ",19 / 25 / 0,3 Credits,"2ND 8-WEEK Session
Math Problem Solving",Undergraduate
Open,MATH-1470-N ,TRIGONOMETRY,3/13/2023-5/6/2023,Distance (online),Online,3/13/2023 - 5/6/2023 (WEB) ,"Pfabe, Kristin A. ",21 / 25 / 0,2 Credits,"2ND 8-WEEK Session
Online",Undergraduate
Open,MATH-1610-01 ,CALCULUS II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, Th, F 12:00-12:50 PM 1/9/2023 - 5/6/2023 ACK 218 (LEC) ","Pfabe, Kristin A. ",21 / 25 / 0,5 Credits,Math Problem Solving,Undergraduate
Open,MATH-2200-01 ,FOUND MODERN MATH,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 11:00-11:50 AM 1/9/2023 - 5/6/2023 ACK 320 (LEC) ","Mohr, Austin T. 
Pfabe, Kristin A. ",20 / 25 / 0,3 Credits,"Math Problem Solving
Writing Instructive",Undergraduate
Open,MATH-3100-01 ,DIFFERENTIAL EQUATION,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 8:40-9:50 AM 1/9/2023 - 5/6/2023 ACK 218 (LEC) ","Ebbers, Garrett D. 
Pfabe, Kristin A. ",18 / 25 / 0,4 Credits, ,Undergraduate
Open,MATH-3200-01 ,LINEAR ALGEBRA,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 12:35-1:50 PM 1/9/2023 - 5/6/2023 ACK 213 (LEC) ","McKain, Brent M. 
Pfabe, Kristin A. ",21 / 25 / 0,3 Credits, ,Undergraduate
Open,MATH-4970-01 ,INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Pfabe, Kristin A. ",99 / 99 / 0,1 to 8 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,MFREN-1020-01 ,FRENCH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Miles, Sara J. ",20 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MFREN-2040-01 ,CONNECTN LANG/CULTURE,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Miles, Sara J. ",19 / 22 / 0,4 Credits,"Modern Language
Going Global Thread",Undergraduate
Open,MFREN-2050-01 ,FRENCH LANG/WRITING,3/13/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 3/13/2023 - 5/6/2023 OM 301 (LEC) ","Hajek, Anne C. ",22 / 22 / 0,2 Credits,2ND 8-WEEK Session,Undergraduate
Open,MFREN-2060-01 ,FRENCH CONVERSATION,1/9/2023-3/3/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 1/9/2023 - 3/3/2023 OM 301 (LEC) ","Hajek, Anne C. ",22 / 22 / 0,2 Credits,1ST 8-WEEK Session,Undergraduate
Open,MFREN-3050-01 ,FRENCH LANG/WRITING,3/13/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 3/13/2023 - 5/6/2023 OM 301 (LEC) ","Hajek, Anne C. ",22 / 22 / 0,2 Credits,2ND 8-WEEK Session,Undergraduate
Open,MFREN-3060-01 ,FRENCH CONVERSATION,1/9/2023-3/3/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 1/9/2023 - 3/3/2023 OM 301 (LEC) ","Hajek, Anne C. ",22 / 22 / 0,2 Credits,1ST 8-WEEK Session,Undergraduate
Open,MGRMN-1020-01 ,GERMAN:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Franz, Laura ",19 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MGRMN-2040-01 ,CONNECTN LANG/CULTURE,1/9/2023-5/6/2023,Lincoln,"LECTURE
ARRANGED","M, W, F 1:00-1:50 PM 1/9/2023 - 5/6/2023 OM 121 (LEC) 1/9/2023 - 5/6/2023 TBD (ARR) ","Fuess, Jo Ann M. ",21 / 22 / 0,4 Credits,"Modern Language
Going Global Thread",Undergraduate
Open,MGRMN-2050-01 ,GERMAN LANG/WRITING,3/13/2023-5/6/2023,Lincoln,"LECTURE
ARRANGED","M, W, F 2:00-2:50 PM 3/13/2023 - 5/6/2023 OM 121 (LEC) 3/13/2023 - 5/6/2023 TBD (ARR) ","Fuess, Jo Ann M. ",20 / 22 / 0,2 Credits,2ND 8-WEEK Session,Undergraduate
Open,MGRMN-2060-1 ,GERMAN CONVERSATION,1/9/2023-3/3/2023,Lincoln,"LECTURE
ARRANGED","M, W, F 2:00-2:50 PM 1/9/2023 - 3/3/2023 OM 121 (LEC) 1/9/2023 - 3/3/2023 TBD (ARR) ","Fuess, Jo Ann M. ",20 / 22 / 0,2 Credits,1ST 8-WEEK Session,Undergraduate
Open,MGRMN-3050-01 ,GERMAN LANG/WRITING,3/13/2023-5/6/2023,Lincoln,"LECTURE
ARRANGED","M, W, F 2:00-2:50 PM 3/13/2023 - 5/6/2023 OM 121 (LEC) 3/13/2023 - 5/6/2023 TBD (ARR) ","Fuess, Jo Ann M. ",20 / 22 / 0,2 Credits,2ND 8-WEEK Session,Undergraduate
Open,MGRMN-3060-01 ,GERMAN CONVERSATION,1/9/2023-3/3/2023,Lincoln,"LECTURE
ARRANGED","M, W, F 2:00-2:50 PM 1/9/2023 - 3/3/2023 OM 121 (LEC) 1/9/2023 - 3/3/2023 TBD (ARR) ","Fuess, Jo Ann M. ",20 / 22 / 0,2 Credits,1ST 8-WEEK Session,Undergraduate
Open,MJPAN-1020-01 ,JAPANESE:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, Th, F 8:00-8:50 AM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Nishimura, Marina ",18 / 22 / 0,5 Credits,Modern Language,Undergraduate
Open,MJPAN-2020-01 ,JAPANESE:STAGE 4,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, Th, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 OM 301 (LEC) ","Nishimura, Marina ",20 / 22 / 0,5 Credits,"Modern Language
Going Global Thread",Undergraduate
Open,MLANG-2610-01 ,GLOBL CULTURE THRU FILM,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Fuess, Jo Ann M. ",16 / 22 / 0,2 Credits,"Mlang Electives
Diversity-Global
Going Global Thread
Discourse Instructive",Undergraduate
Open,MLANG-3010-01 ,PREP FOR EDUC ABROAD,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Miles, Sara J. ",95 / 99 / 0,1 Credits, ,Undergraduate
Open,MLANG-3020-01 ,ENGAGING IN STUDY ABROAD,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Nelson, Catherine E. ",18 / 22 / 0,1 Credits,"Mlang Electives
Experiential Intensive
Diversity-Global
Going Global Thread",Undergraduate
Open,MLANG-3030-01 ,PROCESS INTERNTL EXP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Fuess, Jo Ann M. ",98 / 99 / 0,1 Credits,"Experiential Intensive
Discourse Instructive",Undergraduate
Open,MLANG-4980-01 ,SENIOR CAPSTONE,1/9/2023-5/6/2023,Lincoln,LECTURE,Th 1:00-1:50 PM 1/9/2023 - 5/6/2023 OM 217 (LEC) ,"Nelson, Catherine E. ",15 / 20 / 0,1 Credits,"Mlang Electives
Experiential Intensive
Speaking Instructive
Writing Instructive",Undergraduate
Open,MLANG-4990-01 ,SENIOR PROJECT,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Nelson, Catherine E. ",16 / 20 / 0,2 Credits,"Experiential Intensive
Writing Instructive",Undergraduate
Open,MSPAN-1010-01 ,SPANISH:STAGE 1,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 11:00-11:50 AM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Borzone, Manuela ",14 / 22 / 0,4 Credits, ,Undergraduate
Open,MSPAN-1020-01 ,SPANISH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 OM 217 (LEC) ","Cano, Jaime ",15 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-1020-02 ,SPANISH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 8:00-8:50 AM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Valencia-Galvis, Luz S. ",17 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-1020-03 ,SPANISH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 12:00-12:50 PM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Borzone, Manuela ",10 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-1020-04 ,SPANISH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 2:00-2:50 PM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Cano, Jaime ",17 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-1020-05 ,SPANISH:STAGE 2,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Valencia-Galvis, Luz S. ",19 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-2010-01 ,SPANISH:STAGE 3,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, T, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 OM 217 (LEC) ","Cano, Jaime ",20 / 22 / 0,4 Credits,Modern Language,Undergraduate
Open,MSPAN-2020-01 ,SPANISH:STAGE 4,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, Th, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 OM 208 (LEC) ","Fuess, Jo Ann M. ",20 / 22 / 0,4 Credits,"Modern Language
Going Global Thread",Undergraduate
