"","Country","Stay_Info","Year","Quantity"
"56","Albania","Average length of stay",2018,2.43
"57","Albania","Average length of stay",2019,2.58
"58","Albania","Average length of stay",2020,2.34
"59","Albania","Average length of stay",2021,2.6
"60","Albania","Average length of stay",2022,2.4
"61","Algeria","Number of establishments",2015,1195
"62","Algeria","Number of establishments",2016,1231
"63","Algeria","Number of establishments",2017,1289
"64","Algeria","Number of establishments",2018,1368
"65","Algeria","Number of establishments",2019,1417
"66","Algeria","Number of establishments",2020,1449
"67","Algeria","Number of establishments",2021,1502
"68","Algeria","Number of establishments",2022,1576
"69","Algeria","Number of rooms",1996,32347
"70","Algeria","Number of rooms",1997,32837
"71","Algeria","Number of bed-places",1996,64695
"72","Algeria","Number of bed-places",1997,65704
"73","Algeria","Number of bed-places",1998,57599
"74","Algeria","Number of bed-places",1999,66902
"75","Algeria","Number of bed-places",2000,67087
"76","Algeria","Number of bed-places",2001,66523
"77","Algeria","Number of bed-places",2002,72567
"78","Algeria","Number of bed-places",2003,77473
"79","Algeria","Number of bed-places",2004,82034
"80","Algeria","Number of bed-places",2005,82808
"81","Algeria","Number of bed-places",2006,84559
"82","Algeria","Number of bed-places",2007,84869
"83","Algeria","Number of bed-places",2008,85000
"84","Algeria","Number of bed-places",2009,86383
"85","Algeria","Number of bed-places",2010,92377
"86","Algeria","Number of bed-places",2011,94021
"87","Algeria","Number of bed-places",2012,96898
"88","Algeria","Number of bed-places",2013,98804
"89","Algeria","Number of bed-places",2014,99605
"90","Algeria","Number of bed-places",2015,102244
"91","Algeria","Number of bed-places",2016,107420
"92","Algeria","Number of bed-places",2017,112264
"93","Algeria","Number of bed-places",2018,119155
"94","Algeria","Number of bed-places",2019,125676
"95","Algeria","Number of bed-places",2020,127614
"96","Algeria","Number of bed-places",2021,132266
"97","Algeria","Number of bed-places",2022,145526
"98","Algeria","Occupancy rate / bed-places",1996,33.64
"99","Algeria","Occupancy rate / bed-places",1997,40.2
"100","Algeria","Occupancy rate / bed-places",1998,37
"101","Algeria","Occupancy rate / bed-places",1999,38
"102","Algeria","Average length of stay",2000,3.02
"103","Algeria","Average length of stay",2001,3.39
"104","Algeria","Average length of stay",2002,4.02
"105","Algeria","Average length of stay",2015,1.69
"106","Algeria","Average length of stay",2016,1.68
"107","Algeria","Average length of stay",2017,1.68
"108","Algeria","Average length of stay",2018,1.67
"109","Algeria","Average length of stay",2019,1.68
"110","Algeria","Average length of stay",2020,1.61
"111","Algeria","Average length of stay",2022,2
"112","American Samoa","Number of establishments",2000,71
"113","American Samoa","Number of establishments",2001,72
"114","American Samoa","Number of establishments",2002,72
"115","American Samoa","Number of establishments",2003,73
"116","American Samoa","Number of establishments",2004,73
"117","American Samoa","Number of establishments",2015,20
"118","American Samoa","Number of establishments",2017,26
"119","American Samoa","Number of rooms",2000,143
"120","American Samoa","Number of rooms",2001,143
"121","American Samoa","Number of rooms",2002,143
"122","American Samoa","Number of rooms",2003,243
"123","American Samoa","Number of rooms",2004,243
"124","American Samoa","Number of rooms",2005,257
"125","American Samoa","Number of rooms",2015,266
"126","American Samoa","Number of rooms",2017,279
"127","American Samoa","Number of bed-places",2000,222
"128","American Samoa","Number of bed-places",2001,222
"129","American Samoa","Number of bed-places",2002,222
"130","American Samoa","Number of bed-places",2003,341
"131","American Samoa","Number of bed-places",2004,341
"132","American Samoa","Number of bed-places",2017,395
"133","Andorra","Number of establishments",2003,275
"134","Andorra","Number of establishments",2004,294
"135","Andorra","Number of establishments",2005,294
"136","Andorra","Number of establishments",2006,258
"137","Andorra","Number of establishments",2007,267
"138","Andorra","Number of establishments",2008,270
"139","Andorra","Number of establishments",2009,260
"140","Andorra","Number of establishments",2010,258
"141","Andorra","Number of establishments",2011,253
"142","Andorra","Number of establishments",2012,249
"143","Andorra","Number of establishments",2013,243
"144","Andorra","Number of establishments",2014,241
"145","Andorra","Number of establishments",2015,239
"146","Andorra","Number of establishments",2016,235
"147","Andorra","Number of establishments",2017,235
"148","Andorra","Number of establishments",2018,239
"149","Andorra","Number of establishments",2019,230
"150","Andorra","Number of establishments",2020,225
"151","Andorra","Number of establishments",2021,216
"152","Andorra","Number of establishments",2022,226
"153","Andorra","Number of rooms",2003,13722
"154","Andorra","Number of rooms",2004,13952
"155","Andorra","Number of rooms",2005,14096
"156","Andorra","Number of rooms",2006,12677
"157","Andorra","Number of rooms",2007,12882
"158","Andorra","Number of rooms",2008,13011
"159","Andorra","Number of rooms",2009,12613
"160","Andorra","Number of rooms",2010,12664
"161","Andorra","Number of rooms",2011,12608
"162","Andorra","Number of rooms",2012,12506
"163","Andorra","Number of rooms",2013,12391
"164","Andorra","Number of rooms",2014,12339
"165","Andorra","Number of rooms",2015,12134
"166","Andorra","Number of rooms",2016,11910
"167","Andorra","Number of rooms",2017,11934
"168","Andorra","Number of rooms",2018,11998
"169","Andorra","Number of rooms",2019,11725
"170","Andorra","Number of rooms",2020,11547
"171","Andorra","Number of rooms",2021,11335
"172","Andorra","Number of rooms",2022,11660
"173","Andorra","Number of bed-places",2003,34522
"174","Andorra","Number of bed-places",2004,38310
"175","Andorra","Number of bed-places",2005,38957
"176","Andorra","Number of bed-places",2006,31515
"177","Andorra","Number of bed-places",2007,32586
"178","Andorra","Number of bed-places",2008,34514
"179","Andorra","Number of bed-places",2009,33700
"180","Andorra","Number of bed-places",2010,33788
"181","Andorra","Number of bed-places",2011,33446
"182","Andorra","Number of bed-places",2012,34271
"183","Andorra","Number of bed-places",2013,34062
"184","Andorra","Number of bed-places",2014,34019
"185","Andorra","Number of bed-places",2015,33613
"186","Andorra","Number of bed-places",2016,32963
"187","Andorra","Number of bed-places",2017,33099
"188","Andorra","Number of bed-places",2018,32903
"189","Andorra","Number of bed-places",2019,32296
"190","Andorra","Number of bed-places",2020,31517
"191","Andorra","Number of bed-places",2021,31211
"192","Andorra","Number of bed-places",2022,31736
"193","Andorra","Average length of stay",1999,2.77
"194","Andorra","Average length of stay",2000,2.93
"195","Andorra","Average length of stay",2001,2.85
"196","Andorra","Average length of stay",2002,2.87
"197","Andorra","Average length of stay",2003,2.68
"198","Andorra","Average length of stay",2004,2.62
"199","Andorra","Average length of stay",2005,2.69
"200","Andorra","Average length of stay",2006,2.7
"201","Andorra","Average length of stay",2007,2.87
"202","Andorra","Average length of stay",2008,2.9
"203","Andorra","Average length of stay",2009,2.6
"204","Andorra","Average length of stay",2010,2.9
"205","Andorra","Average length of stay",2011,2.91
"206","Andorra","Average length of stay",2012,2.97
"207","Andorra","Average length of stay",2013,2.99
"208","Andorra","Average length of stay",2014,2.87
"209","Andorra","Average length of stay",2015,3.05
"210","Andorra","Average length of stay",2016,2.94
"211","Andorra","Average length of stay",2017,2.91
"212","Andorra","Average length of stay",2018,2.88
"213","Andorra","Average length of stay",2019,2.88
"214","Andorra","Average length of stay",2020,3.1
"215","Andorra","Average length of stay",2021,2.59
"216","Andorra","Average length of stay",2022,2.93
"217","Angola","Number of establishments",2006,50
"218","Angola","Number of establishments",2007,77
"219","Angola","Number of establishments",2008,81
"220","Angola","Number of establishments",2009,87
"221","Angola","Number of establishments",2010,136
"222","Angola","Number of establishments",2011,148
"223","Angola","Number of establishments",2012,161
"224","Angola","Number of establishments",2013,178
"225","Angola","Number of establishments",2014,183
"226","Angola","Number of establishments",2015,196
"227","Angola","Number of establishments",2016,220
"228","Angola","Number of establishments",2017,233
"229","Angola","Number of establishments",2018,238
"230","Angola","Number of establishments",2019,235
"231","Angola","Number of establishments",2020,235
"232","Angola","Number of establishments",2021,229
"233","Angola","Number of establishments",2022,247
"234","Angola","Number of rooms",1996,4943
"235","Angola","Number of rooms",1997,6157
"236","Angola","Number of rooms",1998,6157
"237","Angola","Number of rooms",1999,6832
"238","Angola","Number of rooms",2000,6832
"239","Angola","Number of rooms",2001,7897
"240","Angola","Number of rooms",2002,8262
"241","Angola","Number of rooms",2003,9244
"242","Angola","Number of rooms",2004,9358
"243","Angola","Number of rooms",2005,9593
"244","Angola","Number of rooms",2006,2699
"245","Angola","Number of rooms",2013,9156
"246","Angola","Number of rooms",2014,10626
"247","Angola","Number of rooms",2015,11172
"248","Angola","Number of rooms",2016,12950
"249","Angola","Number of rooms",2017,13344
"250","Angola","Number of rooms",2018,13427
"251","Angola","Number of rooms",2019,14323
"252","Angola","Number of rooms",2020,14323
"253","Angola","Number of rooms",2021,14037
"254","Angola","Number of rooms",2022,15728
"255","Angola","Number of bed-places",1996,6783
"256","Angola","Number of bed-places",1997,9014
"257","Angola","Number of bed-places",1998,9014
"258","Angola","Number of bed-places",1999,9119
"259","Angola","Number of bed-places",2000,9119
"260","Angola","Number of bed-places",2001,14060
"261","Angola","Number of bed-places",2002,14893
"262","Angola","Number of bed-places",2003,10612
"263","Angola","Number of bed-places",2004,10736
"264","Angola","Number of bed-places",2005,10723
"265","Angola","Number of bed-places",2006,7242
"266","Angola","Number of bed-places",2013,19121
"267","Angola","Number of bed-places",2014,14617
"268","Angola","Number of bed-places",2015,15035
"269","Angola","Number of bed-places",2016,16411
"270","Angola","Number of bed-places",2017,16879
"271","Angola","Number of bed-places",2018,17023
"272","Angola","Number of bed-places",2019,17902
"273","Angola","Number of bed-places",2020,17902
"274","Angola","Number of bed-places",2021,16112
"275","Angola","Number of bed-places",2022,18590
"276","Angola","Occupancy rate / rooms",2006,87
"277","Angola","Occupancy rate / rooms",2007,92
"278","Angola","Occupancy rate / rooms",2008,89
"279","Angola","Occupancy rate / rooms",2009,83
"280","Angola","Occupancy rate / rooms",2010,89
"281","Angola","Occupancy rate / rooms",2011,73
"282","Angola","Occupancy rate / rooms",2012,83
"283","Angola","Occupancy rate / rooms",2013,86
"284","Angola","Occupancy rate / rooms",2014,85.8
"285","Angola","Occupancy rate / rooms",2015,88.3
"286","Angola","Occupancy rate / rooms",2016,78.1
"287","Angola","Occupancy rate / rooms",2017,62.8
"288","Angola","Occupancy rate / rooms",2018,61.1
"289","Angola","Occupancy rate / rooms",2019,54.8
"290","Angola","Occupancy rate / rooms",2020,27.4
"291","Angola","Occupancy rate / rooms",2021,25.66
"292","Angola","Occupancy rate / rooms",2022,27.78
"293","Angola","Occupancy rate / bed-places",1996,44
"294","Angola","Occupancy rate / bed-places",1997,45
"295","Angola","Occupancy rate / bed-places",1998,92
"296","Angola","Occupancy rate / bed-places",1999,68
"297","Angola","Occupancy rate / bed-places",2000,46
"298","Angola","Occupancy rate / bed-places",2001,71
"299","Angola","Occupancy rate / bed-places",2002,79
"300","Angola","Occupancy rate / bed-places",2003,82
"301","Angola","Occupancy rate / bed-places",2004,96
"302","Angola","Occupancy rate / bed-places",2005,97.6
"303","Angola","Occupancy rate / bed-places",2006,84
"304","Angola","Occupancy rate / bed-places",2007,79
"305","Angola","Occupancy rate / bed-places",2008,77
"306","Angola","Occupancy rate / bed-places",2009,75
"307","Angola","Occupancy rate / bed-places",2010,78.6
"308","Angola","Occupancy rate / bed-places",2011,67
"309","Angola","Occupancy rate / bed-places",2012,75
"310","Angola","Occupancy rate / bed-places",2013,79
"311","Angola","Occupancy rate / bed-places",2014,78.7
"312","Angola","Occupancy rate / bed-places",2015,80.9
"313","Angola","Occupancy rate / bed-places",2016,74.4
"314","Angola","Occupancy rate / bed-places",2017,54.4
"315","Angola","Occupancy rate / bed-places",2018,52.3
"316","Angola","Occupancy rate / bed-places",2019,44.3
"317","Angola","Occupancy rate / bed-places",2020,22.15
"318","Angola","Occupancy rate / bed-places",2021,19.94
"319","Angola","Occupancy rate / bed-places",2022,21.09
"320","Angola","Average length of stay",2002,4
"321","Angola","Average length of stay",2003,4
"322","Anguilla","Number of establishments",1996,55
"323","Anguilla","Number of establishments",1997,55
"324","Anguilla","Number of establishments",1998,55
"325","Anguilla","Number of establishments",1999,57
"326","Anguilla","Number of establishments",2000,54
"327","Anguilla","Number of establishments",2001,53
"328","Anguilla","Number of establishments",2002,56
"329","Anguilla","Number of establishments",2003,50
"330","Anguilla","Number of establishments",2004,50
"331","Anguilla","Number of establishments",2005,50
"332","Anguilla","Number of establishments",2006,50
"333","Anguilla","Number of establishments",2007,49
"334","Anguilla","Number of establishments",2008,46
"335","Anguilla","Number of establishments",2009,46
"336","Anguilla","Number of rooms",1996,866
"337","Anguilla","Number of rooms",1997,915
"338","Anguilla","Number of rooms",1998,1045
"339","Anguilla","Number of rooms",1999,1120
"340","Anguilla","Number of rooms",2000,1067
"341","Anguilla","Number of rooms",2001,1069
"342","Anguilla","Number of rooms",2002,1037
"343","Anguilla","Number of rooms",2003,759
"344","Anguilla","Number of rooms",2004,756
"345","Anguilla","Number of rooms",2005,746
"346","Anguilla","Number of rooms",2006,739
"347","Anguilla","Number of rooms",2007,720
"348","Anguilla","Number of rooms",2008,602
"349","Anguilla","Number of rooms",2009,547
"350","Anguilla","Occupancy rate / bed-places",2000,49.4
"351","Anguilla","Occupancy rate / bed-places",2001,48.8
"352","Anguilla","Occupancy rate / bed-places",2002,43.95
"353","Anguilla","Occupancy rate / bed-places",2003,45.5
"354","Antigua And Barbuda","Number of rooms",1996,3185
"355","Antigua And Barbuda","Number of rooms",1997,3185
"356","Antigua And Barbuda","Number of rooms",1998,3185
"357","Antigua And Barbuda","Number of rooms",1999,3185
"358","Antigua And Barbuda","Number of rooms",2004,3276
"359","Antigua And Barbuda","Number of rooms",2007,4157
"360","Antigua And Barbuda","Number of rooms",2008,4673
"361","Antigua And Barbuda","Number of bed-places",2008,6075
"362","Antigua And Barbuda","Occupancy rate / rooms",2007,66.1
"363","Antigua And Barbuda","Occupancy rate / rooms",2008,63.1
"364","Antigua And Barbuda","Occupancy rate / rooms",2009,58
"365","Antigua And Barbuda","Occupancy rate / rooms",2010,55.7
"366","Antigua And Barbuda","Occupancy rate / rooms",2011,57.5
"367","Antigua And Barbuda","Occupancy rate / rooms",2012,58.3
"368","Antigua And Barbuda","Occupancy rate / rooms",2013,58.1
"369","Antigua And Barbuda","Occupancy rate / rooms",2014,58.7
"370","Antigua And Barbuda","Occupancy rate / rooms",2015,57.4
"371","Antigua And Barbuda","Occupancy rate / rooms",2016,58.4
"372","Antigua And Barbuda","Occupancy rate / rooms",2017,60.9
"373","Antigua And Barbuda","Occupancy rate / bed-places",1996,81.4
"374","Antigua And Barbuda","Occupancy rate / bed-places",2008,65.97
"375","Argentina","Number of establishments",1998,6767
"376","Argentina","Number of establishments",1999,6970
"377","Argentina","Number of establishments",2000,7309
"378","Argentina","Number of establishments",2001,7773
"379","Argentina","Number of establishments",2002,7729
"380","Argentina","Number of establishments",2003,8038
"381","Argentina","Number of establishments",2004,8715
"382","Argentina","Number of establishments",2005,9466
"383","Argentina","Number of establishments",2006,10152
"384","Argentina","Number of establishments",2007,10751
"385","Argentina","Number of establishments",2008,11377
"386","Argentina","Number of establishments",2009,12124
"387","Argentina","Number of establishments",2010,12662
"388","Argentina","Number of establishments",2011,13398
"389","Argentina","Number of establishments",2012,13526
"390","Argentina","Number of establishments",2013,14907
"391","Argentina","Number of establishments",2014,15591
"392","Argentina","Number of establishments",2015,15754
"393","Argentina","Number of establishments",2016,15195
"394","Argentina","Number of establishments",2017,15615
"395","Argentina","Number of establishments",2018,15717
"396","Argentina","Number of establishments",2019,15934
"397","Argentina","Number of establishments",2020,15787
"398","Argentina","Number of establishments",2021,15894
"399","Argentina","Number of establishments",2022,15713
"400","Argentina","Number of rooms",1998,165283
"401","Argentina","Number of rooms",1999,166638
"402","Argentina","Number of rooms",2000,167303
"403","Argentina","Number of rooms",2001,169236
"404","Argentina","Number of rooms",2002,168871
"405","Argentina","Number of rooms",2003,174190
"406","Argentina","Number of rooms",2004,179614
"407","Argentina","Number of rooms",2005,189207
"408","Argentina","Number of rooms",2006,195465
"409","Argentina","Number of rooms",2007,202495
"410","Argentina","Number of rooms",2008,211190
"411","Argentina","Number of rooms",2009,219904
"412","Argentina","Number of rooms",2010,226789
"413","Argentina","Number of rooms",2011,233520
"414","Argentina","Number of rooms",2012,236641
"415","Argentina","Number of rooms",2013,252671
"416","Argentina","Number of rooms",2014,258129
"417","Argentina","Number of rooms",2015,261004
"418","Argentina","Number of rooms",2016,259453
"419","Argentina","Number of rooms",2017,264741
"420","Argentina","Number of rooms",2018,268199
"421","Argentina","Number of rooms",2019,271577
"422","Argentina","Number of rooms",2020,270709
"423","Argentina","Number of rooms",2021,270374
"424","Argentina","Number of rooms",2022,267778
"425","Argentina","Number of bed-places",1998,376823
"426","Argentina","Number of bed-places",1999,386826
"427","Argentina","Number of bed-places",2000,409241
"428","Argentina","Number of bed-places",2001,420447
"429","Argentina","Number of bed-places",2002,418522
"430","Argentina","Number of bed-places",2003,434421
"431","Argentina","Number of bed-places",2004,457470
"432","Argentina","Number of bed-places",2005,480382
"433","Argentina","Number of bed-places",2006,496171
"434","Argentina","Number of bed-places",2007,517852
"435","Argentina","Number of bed-places",2008,540468
"436","Argentina","Number of bed-places",2009,562456
"437","Argentina","Number of bed-places",2010,578697
"438","Argentina","Number of bed-places",2011,603473
"439","Argentina","Number of bed-places",2012,611439
"440","Argentina","Number of bed-places",2013,667608
"441","Argentina","Number of bed-places",2014,683454
"442","Argentina","Number of bed-places",2015,691272
"443","Argentina","Number of bed-places",2016,688059
"444","Argentina","Number of bed-places",2017,703207
"445","Argentina","Number of bed-places",2018,711101
"446","Argentina","Number of bed-places",2019,724841
"447","Argentina","Number of bed-places",2020,722456
"448","Argentina","Number of bed-places",2021,720912
"449","Argentina","Number of bed-places",2022,714353
"450","Argentina","Occupancy rate / rooms",2005,41.92
"451","Argentina","Occupancy rate / rooms",2006,44.94
"452","Argentina","Occupancy rate / rooms",2007,45.86
"453","Argentina","Occupancy rate / rooms",2008,43.27
"454","Argentina","Occupancy rate / rooms",2009,36.9
"455","Argentina","Occupancy rate / rooms",2010,41.76
"456","Argentina","Occupancy rate / rooms",2011,43.37
"457","Argentina","Occupancy rate / rooms",2012,41.04
"458","Argentina","Occupancy rate / rooms",2013,41.55
"459","Argentina","Occupancy rate / rooms",2014,42.64
"460","Argentina","Occupancy rate / rooms",2015,42.77
"461","Argentina","Occupancy rate / rooms",2016,42.01
"462","Argentina","Occupancy rate / rooms",2017,44.14
"463","Argentina","Occupancy rate / rooms",2018,44.81
"464","Argentina","Occupancy rate / rooms",2019,45.18
"465","Argentina","Occupancy rate / rooms",2020,36.93
"466","Argentina","Occupancy rate / rooms",2021,33.46
"467","Argentina","Occupancy rate / rooms",2022,49.17
"468","Argentina","Occupancy rate / bed-places",2005,32.55
"469","Argentina","Occupancy rate / bed-places",2006,35.07
"470","Argentina","Occupancy rate / bed-places",2007,42.35
"471","Argentina","Occupancy rate / bed-places",2008,33.66
"472","Argentina","Occupancy rate / bed-places",2009,28.93
"473","Argentina","Occupancy rate / bed-places",2010,32.73
"474","Argentina","Occupancy rate / bed-places",2011,34.03
"475","Argentina","Occupancy rate / bed-places",2012,32.3
"476","Argentina","Occupancy rate / bed-places",2013,32.34
"477","Argentina","Occupancy rate / bed-places",2014,33.46
"478","Argentina","Occupancy rate / bed-places",2015,33.51
"479","Argentina","Occupancy rate / bed-places",2016,32.68
"480","Argentina","Occupancy rate / bed-places",2017,34.55
"481","Argentina","Occupancy rate / bed-places",2018,35.04
"482","Argentina","Occupancy rate / bed-places",2019,35.4
"483","Argentina","Occupancy rate / bed-places",2020,30.82
"484","Argentina","Occupancy rate / bed-places",2021,27.36
"485","Argentina","Occupancy rate / bed-places",2022,39.69
"486","Argentina","Average length of stay",2005,2.4
"487","Argentina","Average length of stay",2007,2.35
"488","Argentina","Average length of stay",2008,2.34
"489","Argentina","Average length of stay",2009,2.29
"490","Argentina","Average length of stay",2010,2.38
"491","Argentina","Average length of stay",2011,2.35
"492","Argentina","Average length of stay",2012,2.37
"493","Argentina","Average length of stay",2013,2.36
"494","Argentina","Average length of stay",2014,2.4
"495","Argentina","Average length of stay",2015,2.39
"496","Argentina","Average length of stay",2016,2.37
"497","Argentina","Average length of stay",2017,2.3
"498","Argentina","Average length of stay",2018,2.35
"499","Argentina","Average length of stay",2019,2.33
"500","Argentina","Average length of stay",2020,2.73
"501","Argentina","Average length of stay",2021,2.53
"502","Argentina","Average length of stay",2022,2.51
"503","Armenia","Number of establishments",2002,420
"504","Armenia","Number of establishments",2003,433
"505","Armenia","Number of establishments",2004,460
"506","Armenia","Number of establishments",2005,522
"507","Armenia","Number of establishments",2006,595
"508","Armenia","Number of establishments",2007,792
"509","Armenia","Number of establishments",2008,994
"510","Armenia","Number of establishments",2009,1039
"511","Armenia","Number of establishments",2010,1345
"512","Armenia","Number of establishments",2011,1375
"513","Armenia","Number of establishments",2012,1405
"514","Armenia","Number of establishments",2013,1430
"515","Armenia","Number of establishments",2014,1459
"516","Armenia","Number of establishments",2015,1496
"517","Armenia","Number of establishments",2016,1590
"518","Armenia","Number of establishments",2017,1643
"519","Armenia","Number of establishments",2018,1631
"520","Armenia","Number of establishments",2019,1640
"521","Armenia","Number of establishments",2020,1640
"522","Armenia","Number of establishments",2021,1664
"523","Armenia","Number of establishments",2022,1778
"524","Armenia","Number of rooms",2006,3109
"525","Armenia","Number of rooms",2012,13438
"526","Armenia","Number of rooms",2013,13902
"527","Armenia","Number of rooms",2014,14377
"528","Armenia","Number of rooms",2015,14500
"529","Armenia","Number of rooms",2016,14238
"530","Armenia","Number of rooms",2017,14506
"531","Armenia","Number of rooms",2018,15010
"532","Armenia","Number of rooms",2019,15134
"533","Armenia","Number of rooms",2020,15134
"534","Armenia","Number of rooms",2021,15174
"535","Armenia","Number of rooms",2022,19398
"536","Armenia","Number of bed-places",2002,10678
"537","Armenia","Number of bed-places",2003,11594
"538","Armenia","Number of bed-places",2004,12504
"539","Armenia","Number of bed-places",2005,14442
"540","Armenia","Number of bed-places",2006,15745
"541","Armenia","Number of bed-places",2007,18709
"542","Armenia","Number of bed-places",2008,21040
"543","Armenia","Number of bed-places",2009,23290
"544","Armenia","Number of bed-places",2010,27398
"545","Armenia","Number of bed-places",2011,28869
"546","Armenia","Number of bed-places",2012,30379
"547","Armenia","Number of bed-places",2013,31780
"548","Armenia","Number of bed-places",2014,33274
"549","Armenia","Number of bed-places",2015,33385
"550","Armenia","Number of bed-places",2016,32629
"551","Armenia","Number of bed-places",2017,33912
"552","Armenia","Number of bed-places",2018,36534
"553","Armenia","Number of bed-places",2019,36887
"554","Armenia","Number of bed-places",2020,36887
"555","Armenia","Number of bed-places",2021,37935
"556","Armenia","Number of bed-places",2022,38796
"557","Armenia","Occupancy rate / bed-places",1997,16
"558","Armenia","Occupancy rate / bed-places",1998,17
"559","Armenia","Occupancy rate / bed-places",1999,19.3
"560","Armenia","Occupancy rate / bed-places",2000,51
"561","Armenia","Occupancy rate / bed-places",2001,24
"562","Armenia","Occupancy rate / bed-places",2002,25
"563","Armenia","Occupancy rate / bed-places",2003,50
"564","Armenia","Occupancy rate / bed-places",2004,58
"565","Armenia","Occupancy rate / bed-places",2005,59
"566","Armenia","Occupancy rate / bed-places",2006,61
"567","Armenia","Occupancy rate / bed-places",2007,64
"568","Armenia","Occupancy rate / bed-places",2008,69
"569","Armenia","Occupancy rate / bed-places",2009,66
"570","Armenia","Occupancy rate / bed-places",2010,73
"571","Armenia","Occupancy rate / bed-places",2011,81
"572","Armenia","Occupancy rate / bed-places",2012,83
"573","Armenia","Occupancy rate / bed-places",2013,87
"574","Armenia","Occupancy rate / bed-places",2014,88
"575","Armenia","Occupancy rate / bed-places",2015,89
"576","Armenia","Occupancy rate / bed-places",2016,89
"577","Armenia","Occupancy rate / bed-places",2017,89
"578","Armenia","Occupancy rate / bed-places",2018,89
"579","Armenia","Occupancy rate / bed-places",2019,89
"580","Armenia","Occupancy rate / bed-places",2021,89
"581","Armenia","Occupancy rate / bed-places",2022,89
"582","Armenia","Average length of stay",1996,6.5
"583","Armenia","Average length of stay",1997,6.5
"584","Armenia","Average length of stay",1998,6.5
"585","Armenia","Average length of stay",1999,6.5
"586","Armenia","Average length of stay",2000,6.5
"587","Armenia","Average length of stay",2001,6.5
"588","Armenia","Average length of stay",2002,7
"589","Armenia","Average length of stay",2003,10
"590","Armenia","Average length of stay",2004,10
"591","Armenia","Average length of stay",2005,10
"592","Armenia","Average length of stay",2006,10
"593","Armenia","Average length of stay",2007,10
"594","Armenia","Average length of stay",2008,10
"595","Armenia","Average length of stay",2009,10
"596","Armenia","Average length of stay",2010,12
"597","Armenia","Average length of stay",2011,10
"598","Armenia","Average length of stay",2012,10
"599","Armenia","Average length of stay",2013,10
"600","Armenia","Average length of stay",2014,10
"601","Armenia","Average length of stay",2015,11
"602","Armenia","Average length of stay",2016,11
"603","Armenia","Average length of stay",2017,11
"604","Armenia","Average length of stay",2018,11
"605","Armenia","Average length of stay",2019,11
"606","Armenia","Average length of stay",2021,11
"607","Armenia","Average length of stay",2022,11
"608","Aruba","Number of rooms",1996,6781
"609","Aruba","Number of rooms",1997,7233
"610","Aruba","Number of rooms",1998,7233
"611","Aruba","Number of rooms",1999,7783
"612","Aruba","Number of rooms",2000,7783
"613","Aruba","Number of rooms",2001,7783
"614","Aruba","Number of rooms",2002,7040
"615","Aruba","Number of rooms",2003,7731
"616","Aruba","Number of rooms",2004,7206
"617","Aruba","Number of rooms",2005,7966
"618","Aruba","Number of rooms",2006,9062
"619","Aruba","Number of rooms",2007,9062
"620","Aruba","Number of rooms",2008,9856
"621","Aruba","Number of rooms",2009,9856
